age,annual_income,loan_amount,credit_score,employment_years,credit_card_count,late_payment_count,debt_income_ratio,savings_balance,property_value,dependents_count,city_tier,loan_status
43,32323,41982,510,10,1,8,0.14,66267,392044,1,1,0
40,131335,24611,850,12,3,10,0.28,28757,283573,0,3,1
26,132356,48791,734,19,1,3,0.66,64867,144330,5,2,1
29,130944,16950,506,4,0,5,0.73,36650,108650,2,1,1
18,93379,15704,738,20,5,7,0.46,34766,50615,1,2,1
18,34210,48111,341,3,9,10,0.66,82478,226684,5,3,0
64,36456,16867,710,3,7,12,0.41,33419,390081,1,2,1
51,51367,7745,822,3,9,7,0.23,17668,297326,5,1,1
49,74624,8866,726,3,9,14,0.42,17246,354080,5,2,1
42,30106,37245,574,19,1,4,0.56,25996,210444,4,3,0
57,123493,49724,747,20,8,4,0.86,52312,419956,4,1,1
62,88008,10818,668,17,2,5,0.16,4065,380019,4,1,1
18,145926,35116,519,17,7,9,0.51,11467,131782,2,3,1
33,135395,20493,876,15,7,6,0.36,51646,111700,2,2,1
56,136492,33038,531,8,2,12,0.51,22007,58109,5,2,1
22,92240,25447,627,17,2,12,0.12,69079,73758,3,3,1
39,84315,35431,742,21,5,9,0.35,29702,269699,1,1,1
46,89249,22908,351,1,0,13,0.76,95369,420736,4,3,1
20,90587,34336,675,20,3,6,0.54,76569,63317,1,1,1
29,30756,45992,562,3,0,12,0.46,54952,250073,5,1,0
43,88011,9025,566,11,2,3,0.33,59065,494639,0,2,1
33,56378,25093,658,6,8,5,0.34,35169,75622,5,3,1
54,24255,11155,616,14,4,6,0.41,17829,56800,2,1,1
39,34484,38487,623,6,4,4,0.77,61135,295869,3,2,1
46,145703,25963,862,28,3,4,0.87,5522,85539,0,3,1
31,76549,25936,720,21,2,1,0.45,86687,283259,1,3,1
45,54503,9426,345,25,4,6,0.41,36319,183672,2,1,1
22,144465,28303,899,20,3,11,0.78,27543,135163,4,1,1
64,93794,32606,568,16,7,5,0.44,31473,296765,0,1,1
47,145941,33151,680,15,3,10,0.54,8699,210441,2,3,1
63,126283,18767,417,27,7,0,0.28,69165,278053,1,1,1
22,120732,16308,865,18,5,3,0.69,41455,328833,5,3,1
29,65113,49245,415,8,4,2,0.53,76692,393603,1,2,1
33,125730,29770,559,13,3,11,0.75,18441,88469,0,3,1
43,94069,33572,374,16,3,14,0.72,31716,182030,0,1,1
43,118117,46448,779,4,3,2,0.27,63175,304905,5,3,1
38,25249,7204,604,1,8,6,0.67,7834,301030,0,1,1
56,145654,32233,306,19,3,10,0.74,19179,372156,3,2,1
53,139979,26729,665,15,8,11,0.38,27219,250146,4,1,1
50,39201,36131,822,13,9,9,0.24,16782,110021,2,1,0
47,145541,38870,647,13,5,3,0.1,82363,231854,5,1,1
54,78576,43011,737,26,9,14,0.46,75967,281979,1,1,1
40,138562,44382,514,0,6,11,0.38,10496,74642,1,1,1
27,145281,46475,728,2,9,7,0.54,89867,391147,4,1,1
22,29686,26607,797,25,2,10,0.25,40238,173714,0,2,1
53,132413,29968,839,6,7,8,0.79,47025,50205,0,2,1
51,73363,38398,666,25,2,2,0.31,60886,405089,1,3,1
48,117543,16908,612,14,0,4,0.28,24563,62442,4,1,1
27,20661,31423,837,18,9,3,0.48,4712,403970,1,3,0
36,64843,48615,353,19,4,13,0.5,95067,272716,0,2,1
49,115673,14171,840,1,1,11,0.27,46489,448907,5,2,1
18,80963,17721,766,18,9,9,0.32,33664,88909,2,1,1
22,133092,21616,463,8,5,14,0.24,13420,331648,0,1,1
62,62828,47512,633,18,9,5,0.67,55610,145698,5,3,1
21,68604,43458,846,26,8,10,0.72,6315,286104,2,2,1
33,30526,12659,647,4,0,9,0.47,71917,482014,3,3,1
41,88910,48369,572,17,3,3,0.67,76033,230402,4,3,1
33,45592,16704,713,15,0,7,0.69,95576,137087,5,3,1
19,48982,37793,799,3,0,2,0.21,98911,259991,3,1,1
45,20207,36226,392,11,7,10,0.87,80030,263104,0,2,0
49,120969,28852,378,28,1,4,0.76,64910,91716,4,3,1
44,137181,37082,516,6,0,12,0.26,98288,255696,5,2,1
37,108733,27794,657,13,7,0,0.25,61972,228054,0,2,1
41,118936,46420,806,22,3,12,0.2,91893,208516,4,3,1
29,144982,18379,858,11,2,14,0.21,56919,467950,4,3,1
52,145839,12006,480,2,3,5,0.7,83486,222817,0,1,1
50,88619,13682,875,4,4,10,0.48,82288,84571,0,2,1
50,49328,38840,545,16,0,4,0.73,5132,273023,5,3,1
60,66479,37430,543,25,0,7,0.7,42598,458605,4,3,1
54,128427,28091,805,9,2,8,0.58,94812,405424,5,2,1
29,40103,37983,721,9,5,7,0.65,21551,265290,4,3,0
20,59891,28989,619,10,0,7,0.11,93511,95038,5,2,1
18,30754,14915,386,16,1,11,0.35,69206,122795,0,3,1
50,119983,47552,516,4,6,13,0.61,75900,357312,0,2,1
57,101437,23990,789,12,0,12,0.11,27296,259154,1,3,1
27,118540,29734,818,9,6,2,0.13,91216,117690,5,3,1
60,92982,19824,577,8,3,3,0.78,19066,426197,1,1,1
61,122747,41081,468,16,9,14,0.65,29892,61230,1,2,1
46,75922,16033,629,0,5,10,0.31,76577,395445,3,1,1
30,68231,47736,740,3,7,3,0.65,75590,186974,4,3,1
29,49301,21241,690,3,8,14,0.73,78173,378902,2,2,1
48,111652,10939,795,17,5,14,0.35,77293,77050,3,2,1
63,140787,40063,680,8,8,13,0.13,65771,411949,4,3,1
19,146823,39464,605,29,3,10,0.85,28484,255658,2,3,1
52,82711,16185,812,24,5,4,0.38,78865,381254,1,3,1
40,61323,32045,487,28,7,12,0.19,28115,414177,2,3,1
34,38752,49769,815,28,8,8,0.49,27038,126693,0,2,0
43,117912,24167,726,17,2,11,0.71,37622,434572,0,1,1
25,102205,41412,801,13,1,8,0.28,36886,69575,5,2,1
46,118452,26625,559,24,5,9,0.32,52284,240012,4,2,1
43,33395,44188,812,14,3,12,0.29,10901,352388,3,2,0
27,105957,32076,370,5,0,11,0.89,57377,327106,1,2,1
43,141237,49605,777,23,7,13,0.26,83910,281898,4,3,1
51,76273,24029,477,9,8,0,0.56,50862,306551,1,1,1
58,147431,27973,756,28,8,13,0.84,33806,412839,0,2,1
24,111878,44121,488,14,1,13,0.22,18659,298435,3,2,1
21,24895,36433,590,28,8,7,0.88,24453,297943,3,1,0
62,139968,48309,819,3,6,13,0.86,31498,140388,0,3,1
28,135700,6932,591,17,4,0,0.81,71393,277292,2,2,1
46,96559,49254,582,17,6,1,0.27,17312,127332,3,3,1
53,30699,6757,843,24,8,6,0.61,2436,467666,2,2,1
42,85061,35722,676,16,7,14,0.71,28569,234566,1,2,1
38,29715,42853,455,11,5,7,0.89,59813,439530,3,1,0
53,39169,43405,807,6,3,0,0.24,91485,357181,5,1,1
27,145436,6116,712,15,0,14,0.71,74229,162666,0,3,1
54,138413,48527,827,10,5,2,0.37,46986,177048,2,2,1
26,36163,16691,654,13,2,6,0.24,54177,312072,5,3,1
41,139264,5492,858,2,5,12,0.44,10305,395184,1,1,1
52,25782,32882,486,18,5,8,0.74,33646,161264,1,1,0
52,108177,13811,330,17,3,7,0.47,93838,211113,3,1,1
53,149772,32808,559,29,1,7,0.53,77126,322859,3,1,1
35,144481,29272,720,9,8,14,0.9,41430,465019,5,1,1
56,104328,33399,828,5,1,8,0.42,69659,373870,4,3,1
49,135028,11474,850,12,2,9,0.59,5158,445124,4,3,1
41,55585,31956,603,9,9,2,0.39,75236,430352,3,1,1
40,50682,47506,338,17,0,7,0.41,77067,218147,4,2,1
49,67864,18979,788,25,6,0,0.66,28738,245659,0,2,1
54,149992,49523,841,19,0,7,0.85,10879,365792,5,2,1
29,104416,47565,577,25,8,12,0.53,6543,71134,0,2,1
30,75114,33328,502,15,0,6,0.71,48924,296257,4,2,1
40,147810,17867,365,24,4,12,0.17,43348,368287,3,1,1
42,58067,30851,407,24,6,14,0.27,85117,119123,0,3,1
52,62685,36279,567,5,2,7,0.5,37679,226225,1,1,1
58,142262,35527,521,12,8,0,0.12,80118,183485,3,2,1
47,38073,12866,829,3,7,5,0.3,44888,271646,5,2,1
34,56035,20449,389,22,2,6,0.51,31276,203627,2,3,1
37,84977,15685,554,13,4,13,0.11,5799,454168,2,1,1
42,122710,28544,754,0,6,10,0.31,91627,250065,3,3,1
39,110373,10451,552,27,3,4,0.51,94770,433801,4,2,1
30,103362,26642,556,19,4,13,0.56,91141,116686,0,2,1
36,110517,46316,682,4,2,4,0.84,61558,424985,0,3,1
53,85450,44954,741,7,8,6,0.62,37534,82264,3,2,1
29,30382,43870,898,11,9,14,0.43,32668,286830,1,1,0
58,24437,36030,389,1,8,10,0.84,5111,490769,5,2,0
36,90971,35873,689,11,6,14,0.73,25686,235431,4,2,1
29,84612,5619,881,4,9,2,0.26,73551,422029,1,1,1
26,110355,38650,343,21,1,5,0.2,73392,279394,3,2,1
24,81929,30372,897,4,6,6,0.64,17490,190880,3,3,1
45,122411,8642,318,12,6,0,0.55,36194,102330,1,3,1
31,117518,33001,400,8,4,11,0.73,15497,164672,2,2,1
48,118864,39064,656,9,8,1,0.69,54516,350489,3,1,1
36,32329,34290,841,0,2,11,0.6,89730,89222,5,1,1
64,145605,19122,332,29,3,3,0.89,45104,107755,4,3,1
33,45169,29820,528,2,0,12,0.53,6316,321077,1,2,1
22,107468,7895,823,29,5,7,0.19,39130,380351,2,1,1
52,54594,10366,454,17,3,10,0.76,71229,224811,1,1,1
29,96957,13711,722,11,0,12,0.3,30954,228810,2,3,1
42,80631,24596,545,28,1,13,0.72,22652,416835,2,3,1
38,65033,23793,704,2,2,9,0.87,15178,155137,5,1,1
53,83133,13199,840,25,8,5,0.66,52163,265616,4,3,1
40,93165,15717,460,24,7,0,0.58,15751,465099,3,1,1
33,93861,41191,416,28,6,9,0.47,66961,410962,2,2,1
56,72290,15211,570,29,3,4,0.39,4044,410654,3,3,1
62,114031,28360,786,8,0,6,0.38,64165,149251,4,3,1
59,51750,26542,471,25,7,14,0.61,12480,486617,3,2,1
56,115155,36312,573,1,3,12,0.7,66439,196452,5,1,1
31,60461,41435,558,29,2,5,0.64,44874,330356,5,1,1
48,93800,33247,434,2,8,12,0.26,67775,340318,0,3,1
22,98222,27357,721,13,9,12,0.5,7566,450077,5,1,1
52,132020,46045,720,3,3,11,0.73,86311,187166,2,1,1
40,44226,32691,485,24,3,8,0.48,54149,154649,4,2,1
46,26721,17424,663,18,8,7,0.53,4006,101319,5,2,1
60,76154,23852,677,12,1,14,0.72,73561,227800,1,2,1
28,40609,27601,822,6,4,3,0.63,20423,467579,4,3,1
35,72130,23020,879,11,3,12,0.43,91710,137846,2,2,1
64,92909,13155,495,2,8,10,0.82,93199,220372,4,2,1
29,124211,8583,397,22,4,11,0.23,34952,104808,5,1,1
26,75249,20515,321,22,8,4,0.9,28326,449159,1,2,1
27,68895,41777,749,8,8,6,0.2,32139,261177,0,3,1
61,114473,24710,471,1,1,7,0.11,63103,92616,2,2,1
34,25656,48178,682,28,8,4,0.81,61857,386473,2,3,0
55,144865,29532,433,21,2,8,0.3,74638,284815,4,1,1
24,94520,23601,725,8,3,13,0.68,73652,206359,3,1,1
63,83740,9967,324,11,0,9,0.75,13937,440101,3,2,1
30,84309,23753,802,11,0,11,0.79,31161,215043,1,1,1
57,49984,25022,484,14,0,3,0.89,5383,106152,0,2,1
59,138947,48463,384,1,8,3,0.34,86856,92351,0,1,1
26,93822,14135,866,17,7,12,0.67,71043,241112,4,3,1
44,25901,10722,443,12,4,7,0.19,15735,277977,4,1,1
19,51552,32413,711,13,4,0,0.43,60919,269631,3,2,1
22,111245,32236,523,4,8,7,0.78,96249,434521,5,2,1
46,51055,20514,519,25,2,4,0.39,83055,110616,0,2,1
54,57685,48896,478,9,2,12,0.57,68561,292493,5,3,1
55,93965,42212,732,11,6,13,0.5,86455,204969,0,1,1
36,34716,45386,564,9,8,10,0.62,38622,335154,5,2,0
25,134099,25331,728,23,5,0,0.88,39135,483370,5,3,1
62,31138,23060,715,10,1,3,0.14,36658,171822,0,3,1
18,55298,6196,752,24,0,1,0.56,85677,201186,1,3,1
39,71112,17297,496,1,1,3,0.79,30696,331194,1,1,1
34,43429,7787,853,4,0,7,0.49,4773,296309,4,1,1
24,70200,28816,352,29,9,4,0.16,25956,333269,5,1,1
42,91308,45695,779,6,9,0,0.55,16819,493612,5,3,1
62,68244,24702,742,5,8,6,0.37,2528,225918,5,1,1
21,137217,30242,629,21,9,0,0.22,87491,463612,5,2,1
53,134055,7176,550,22,7,8,0.78,45588,404805,5,3,1
23,121268,25127,422,2,6,2,0.52,71585,307156,3,1,1
48,125441,46560,686,12,2,11,0.85,21511,138116,2,3,1
36,37347,32228,638,2,7,2,0.74,11119,169233,5,3,0
61,36920,25208,647,25,1,14,0.65,76893,482189,3,1,1
56,51822,33482,328,24,1,14,0.1,17167,466790,1,3,1
44,66659,14171,334,29,9,5,0.44,57503,402299,5,1,1
27,60108,40219,817,23,2,9,0.26,88789,441987,1,1,1
43,148955,38396,695,20,6,5,0.83,35889,63869,4,1,1
36,109099,47589,593,5,0,12,0.24,46678,112167,2,3,1
56,27967,45546,888,10,7,10,0.33,96334,237219,0,3,1
20,130719,8696,648,27,6,10,0.51,61262,293758,2,1,1
62,31871,25058,446,25,3,5,0.31,5681,193194,5,3,1
30,114299,25313,366,16,4,12,0.27,81291,224899,5,1,1
45,97452,24149,819,9,9,0,0.58,67008,194407,2,2,1
37,94270,46075,421,11,0,4,0.17,99417,301536,2,3,1
45,53613,9956,639,16,3,11,0.15,14690,375720,4,3,1
25,48179,15195,474,3,0,5,0.4,26912,71677,1,2,1
58,140465,22076,896,1,0,7,0.68,7473,471439,0,2,1
56,72188,6105,750,10,9,12,0.54,42298,473030,2,2,1
18,75099,20417,856,6,0,0,0.44,19669,175662,0,1,1
20,55262,29729,435,1,6,4,0.55,82998,486401,2,1,1
30,98213,35099,315,25,6,2,0.39,21943,126794,1,2,1
45,137407,37598,632,17,3,1,0.85,39785,125675,0,1,1
42,38268,34961,494,20,1,10,0.14,64427,354469,3,3,1
50,97866,17602,795,3,2,7,0.64,63001,90503,1,2,1
55,106269,14256,308,7,7,6,0.81,62724,331658,0,3,1
23,80545,25584,633,19,7,9,0.74,11832,106196,2,1,1
61,123483,39681,632,13,5,6,0.25,6385,464133,2,2,1
62,112822,30792,626,11,9,4,0.34,96898,497915,1,1,1
49,92146,26904,314,21,8,11,0.67,15708,406777,1,3,1
62,91966,48361,525,20,8,12,0.17,59600,231191,2,1,1
64,59922,39540,724,26,3,8,0.75,24438,133324,0,3,1
38,99364,31536,707,29,0,4,0.68,83747,468277,3,1,1
33,62913,24164,412,17,0,1,0.68,81107,191019,4,3,1
38,117033,17996,727,10,9,2,0.18,61062,397694,1,1,1
28,124792,7871,300,28,4,3,0.67,66428,392475,2,2,1
54,139425,27626,565,27,1,14,0.64,87843,213704,0,2,1
53,75677,15521,790,29,5,4,0.76,12002,200424,1,1,1
52,122154,48410,507,7,6,12,0.13,37153,335797,0,3,1
36,69841,6132,668,1,0,2,0.12,23440,248187,1,1,1
37,66332,38467,605,24,5,11,0.4,68501,409438,2,2,1
35,112062,19534,311,14,7,13,0.22,33556,93755,0,3,1
64,139863,28854,644,8,4,6,0.55,68963,416440,2,1,1
58,115694,47998,764,18,6,4,0.83,91725,148354,0,1,1
31,45032,44065,793,19,9,4,0.41,91674,384132,1,3,1
32,57846,12812,667,7,5,5,0.78,7563,350065,4,1,1
48,79474,9557,719,24,3,6,0.1,80923,358812,4,2,1
18,64936,7179,470,18,6,9,0.23,6840,367319,3,2,1
20,49794,48798,433,4,9,9,0.12,16154,228810,3,3,0
33,81588,14065,726,10,8,7,0.36,25194,365596,5,1,1
40,90984,13275,324,14,9,8,0.83,66020,249395,2,1,1
28,70331,40948,829,7,9,10,0.18,47861,358293,0,2,1
29,114397,25700,489,18,6,3,0.59,23448,294965,3,3,1
27,48141,44464,440,22,4,4,0.46,97460,327983,1,3,1
49,29074,47351,854,26,6,14,0.85,24528,52155,4,3,0
33,26406,32794,614,7,2,4,0.2,30402,450235,0,2,0
25,117359,33783,743,25,1,7,0.27,5352,104512,5,2,1
55,143279,21998,618,26,4,8,0.12,1184,398294,4,3,1
29,43291,18869,740,29,3,6,0.45,11384,176041,0,3,1
41,61568,49525,391,18,4,14,0.32,15319,338334,3,1,1
45,117539,33152,478,17,7,4,0.8,21449,323072,3,1,1
25,66851,25954,355,9,3,2,0.58,57333,360569,2,3,1
45,119942,36555,454,28,8,0,0.59,42205,124134,5,2,1
53,74823,21654,410,6,6,10,0.53,11426,159875,0,2,1
43,43312,40236,436,27,9,8,0.17,8504,267189,5,1,0
25,63108,20042,531,8,6,4,0.46,57578,174264,1,3,1
45,86918,30966,767,0,7,8,0.9,59209,230046,5,2,1
45,54171,49314,780,18,5,9,0.77,34368,422335,3,2,1
54,61779,19270,367,4,7,14,0.81,53185,491012,2,2,1
58,88828,35908,548,18,2,11,0.76,98630,229815,3,2,1
53,127315,20523,622,0,9,12,0.18,81221,415860,4,1,1
44,118723,24991,817,14,9,13,0.28,9724,251107,3,2,1
34,32411,15775,731,15,0,3,0.1,6084,480893,0,2,1
26,122821,17265,786,22,5,4,0.34,35810,106321,2,3,1
50,137990,24459,728,6,0,3,0.19,83277,425926,0,3,1
37,77009,21673,568,25,8,1,0.48,83297,159398,1,1,1
30,35422,32056,836,11,1,11,0.64,79872,371117,1,1,1
45,62468,11614,447,7,1,0,0.8,21872,102414,3,1,1
46,52371,41020,417,4,6,7,0.7,79950,468818,2,1,1
30,77022,12415,666,9,1,3,0.85,71333,298749,5,2,1
63,91229,28155,365,27,9,4,0.14,69843,341836,2,3,1
52,119071,48884,669,20,7,5,0.11,99104,418102,2,2,1
23,71196,21964,474,4,5,13,0.63,3596,360894,2,2,1
35,100354,42726,887,16,6,7,0.33,18167,464976,3,2,1
22,116774,42044,794,25,6,10,0.3,88844,380600,0,3,1
64,116410,42544,413,4,5,7,0.36,90751,336229,3,1,1
42,46715,37252,410,21,9,6,0.32,78331,335069,5,1,1
19,47605,8832,738,14,8,3,0.51,81520,317759,0,3,1
27,119853,30275,446,12,8,5,0.45,59326,349227,5,3,1
47,51174,19901,334,27,6,3,0.51,78670,422908,4,1,1
62,29956,43213,608,0,8,14,0.64,11782,59605,4,2,0
22,124444,39148,837,10,9,13,0.41,43002,423237,0,1,1
50,96373,47633,313,22,2,6,0.3,88187,356752,3,3,1
18,89252,27918,673,0,2,11,0.23,25022,440932,5,1,1
35,81949,24540,856,10,0,12,0.38,85458,69192,5,1,1
49,82646,16580,727,17,4,11,0.69,15618,446547,1,1,1
64,90017,43402,532,17,3,14,0.71,18245,363474,5,3,1
28,83037,43578,862,20,1,12,0.63,84796,278464,3,3,1
38,109818,29917,739,29,8,12,0.29,11027,362093,1,1,1
43,26548,27318,801,25,2,10,0.57,14986,118382,3,1,0
42,136981,15179,574,15,7,13,0.56,4526,149233,2,2,1
39,123141,17251,375,12,5,0,0.49,92797,480802,5,2,1
44,93294,24493,738,6,4,4,0.54,45361,102243,2,1,1
30,129204,25466,588,0,0,14,0.49,68158,412710,4,3,1
50,43177,35206,839,25,3,13,0.55,39286,370762,4,2,1
51,44022,24624,552,15,2,9,0.67,30533,188621,0,1,1
58,126297,31564,425,0,0,11,0.19,19316,430312,5,2,1
52,140695,27412,476,16,4,14,0.7,9699,102494,1,2,1
18,25542,32990,336,5,5,9,0.21,80491,269045,2,2,1
38,111012,40517,709,1,1,14,0.15,98079,336102,3,3,1
23,116320,18156,426,16,2,3,0.88,59465,270851,5,1,1
45,80428,28064,782,5,5,10,0.87,17673,157960,0,3,1
34,42740,30711,467,13,3,6,0.15,24395,152478,3,3,1
22,79353,35106,891,17,8,12,0.45,24707,480754,2,2,1
48,110353,21589,593,5,4,8,0.25,85749,55833,5,1,1
22,133132,28736,642,9,3,4,0.49,76937,466602,2,2,1
55,76532,25975,609,23,1,3,0.76,87732,298053,5,3,1
20,36052,41218,827,17,5,14,0.86,57416,149341,5,3,1
40,120689,12214,839,26,9,8,0.61,92512,252850,2,1,1
54,67076,35581,718,8,1,4,0.38,9758,144240,2,3,1
54,73420,25195,743,7,6,8,0.58,68009,420099,3,3,1
27,20671,49582,857,27,2,7,0.35,14281,468048,0,1,0
27,20163,32127,535,9,8,3,0.83,33548,258929,2,2,0
36,61424,10141,738,16,4,10,0.8,19371,220002,4,1,1
34,129538,33884,513,22,7,10,0.55,94899,213479,0,3,1
38,73744,29885,384,29,5,6,0.36,78593,316217,4,1,1
31,90331,7708,384,28,9,4,0.33,20644,329811,3,2,1
26,30634,23375,788,25,7,9,0.13,94659,459251,2,3,1
63,24798,20088,364,5,2,3,0.75,24874,56732,0,2,1
18,42420,49602,363,13,2,4,0.46,89659,367241,2,2,1
62,137043,15014,642,21,4,4,0.36,15281,53487,5,1,1
30,140575,8273,651,21,9,10,0.48,69787,281560,2,2,1
21,147158,42306,457,5,2,14,0.75,23289,369846,0,1,1
18,49300,35881,888,25,7,8,0.2,6054,307743,2,1,1
57,109881,36486,790,6,9,11,0.79,67846,407105,2,2,1
49,30749,17541,762,11,7,8,0.82,95682,135107,1,1,1
51,124131,13712,524,2,1,5,0.86,50769,472291,1,1,1
45,45121,14168,612,13,3,13,0.42,30312,157721,0,2,1
48,148563,8551,765,21,9,3,0.27,97517,383175,0,3,1
25,57487,17297,387,18,0,14,0.4,5257,396361,5,1,1
56,113947,48733,602,22,3,1,0.37,16846,326925,5,1,1
43,53361,32128,734,15,3,13,0.24,23483,352009,2,2,1
51,41223,7832,434,6,9,2,0.59,27558,58469,4,1,1
20,92930,33483,349,7,8,1,0.48,44188,357311,0,2,1
29,34056,27063,731,17,2,4,0.79,14012,305938,2,3,1
18,48380,27963,639,24,1,5,0.13,34236,262810,4,3,1
61,46035,18422,646,12,8,10,0.62,46076,332072,1,2,1
22,50620,37920,646,20,8,4,0.71,49402,257593,5,3,1
47,39877,16156,544,8,0,1,0.71,95467,351743,0,2,1
47,145481,16108,408,9,5,11,0.81,33076,459991,2,1,1
34,75316,36845,832,20,9,4,0.68,81337,378648,1,3,1
64,84041,7800,389,22,7,8,0.84,76164,120687,3,1,1
40,128940,43078,595,26,2,3,0.37,75264,470020,1,1,1
32,137360,47712,411,8,8,11,0.5,18335,421266,2,2,1
54,73352,7610,888,14,1,9,0.11,44773,213331,5,3,1
38,50911,17067,476,19,5,1,0.11,53158,306797,4,3,1
31,52784,38872,642,1,0,2,0.29,29570,136284,3,1,1
19,23191,15728,400,24,6,2,0.18,88995,135227,3,1,1
28,53160,34566,700,12,2,8,0.31,41658,147556,5,2,1
56,110536,34783,327,1,6,3,0.24,60184,93560,3,3,1
55,124576,25583,836,18,3,14,0.12,73613,339400,0,2,1
51,84641,25238,357,25,8,0,0.83,59194,56125,2,2,1
55,69723,12263,797,1,4,0,0.11,68507,54370,3,2,1
51,23631,6914,596,2,2,14,0.69,34959,54838,1,3,1
35,26172,28749,433,5,7,6,0.22,54072,164479,4,2,1
47,62080,24456,630,2,5,6,0.83,46588,107429,2,3,1
32,109097,30582,548,9,1,1,0.81,41533,446350,5,2,1
44,110353,5406,849,23,2,8,0.62,69582,292067,1,1,1
51,40281,18689,374,26,7,8,0.64,62743,93199,0,2,1
55,48671,37934,467,5,9,4,0.1,45518,127092,3,2,1
50,142811,38276,802,22,6,14,0.89,13703,437069,1,3,1
41,71431,41432,654,15,9,14,0.8,50456,214894,2,1,1
32,110900,24873,524,16,5,2,0.82,56491,274585,1,1,1
47,142139,18050,830,18,0,2,0.63,9043,332257,0,3,1
59,127210,5680,445,2,8,11,0.38,69340,244666,4,3,1
34,147734,23908,540,17,2,2,0.81,11176,146102,3,1,1
22,112961,23504,643,6,4,5,0.33,4936,314813,2,3,1
46,135463,26644,334,8,6,3,0.55,32174,230499,3,1,1
21,48602,42125,300,19,6,7,0.18,83632,194010,3,2,1
27,108789,6363,452,11,2,14,0.84,89768,448933,5,2,1
34,71399,47291,728,4,3,12,0.21,26909,389962,3,1,1
27,43472,40060,807,2,9,10,0.28,45158,490875,1,1,1
34,69230,6538,425,10,6,12,0.55,9366,245647,1,2,1
37,93616,41176,790,24,7,10,0.71,86125,129737,4,2,1
41,27099,46520,781,29,1,10,0.6,55337,459505,0,1,0
22,138614,30675,644,3,8,4,0.29,60331,74406,2,3,1
51,45431,23287,520,4,6,0,0.1,63197,277894,1,3,1
23,76492,5174,324,0,7,8,0.71,73042,62873,3,1,1
19,116722,31732,827,26,5,0,0.89,51924,175812,0,3,1
30,67684,39998,481,27,5,5,0.75,29842,394192,2,2,1
60,50111,42055,798,28,8,0,0.47,18458,73461,2,2,1
60,125387,17112,341,17,3,2,0.82,88367,463926,2,3,1
28,83936,44874,780,11,4,14,0.43,66382,63448,2,1,1
64,42614,14689,738,12,8,9,0.52,75319,65198,4,2,1
40,112260,49814,701,8,0,4,0.48,12170,123158,2,2,1
33,61991,24555,845,1,3,14,0.46,81145,494015,0,2,1
48,90476,38919,644,4,6,9,0.72,45942,275075,1,3,1
28,137959,12619,344,12,8,6,0.52,89571,216033,0,1,1
33,80920,11033,320,15,9,13,0.35,17208,224079,3,3,1
25,114294,46328,369,15,5,9,0.31,36178,115470,5,1,1
21,83530,9946,347,23,7,7,0.13,80172,233328,4,1,1
57,56224,29618,790,2,8,11,0.57,10039,70739,4,3,1
21,27788,39675,850,21,9,8,0.28,15990,396198,3,2,0
42,48082,41258,586,3,3,5,0.22,7441,370330,0,1,0
20,143287,23919,309,10,0,14,0.62,75221,76547,0,3,1
49,109570,9173,841,22,7,10,0.64,80314,144472,3,2,1
20,121015,48833,573,25,1,8,0.7,46959,397967,5,1,1
44,96816,31400,899,13,0,7,0.5,27862,156887,2,1,1
46,103588,9769,680,28,6,8,0.82,28273,232503,2,2,1
49,36531,42564,628,2,9,9,0.85,94949,468692,1,1,1
36,108340,19211,778,15,8,3,0.75,43500,259483,0,3,1
38,114439,28255,314,21,8,8,0.61,4956,322830,0,1,1
22,64857,32962,815,14,2,14,0.34,73089,198608,3,1,1
35,30142,24356,490,27,5,6,0.89,89789,346206,3,2,1
45,135053,25306,467,9,6,4,0.32,90451,360360,2,3,1
59,68355,9997,820,8,9,4,0.26,3365,468257,0,2,1
39,29866,22376,436,10,8,0,0.45,73204,343797,0,3,1
38,90067,45880,453,15,1,1,0.15,6000,71673,4,2,1
23,130990,43055,687,9,7,9,0.88,58072,191439,1,1,1
18,123634,15578,508,16,6,2,0.57,53499,69629,1,3,1
22,123814,23624,571,18,3,13,0.55,70211,170756,2,3,1
58,145426,44194,442,1,1,13,0.62,13907,161641,5,1,1
29,84027,49367,368,23,7,7,0.5,18336,337207,0,2,1
43,77906,5389,546,22,4,5,0.13,86220,331466,4,3,1
63,48138,38767,560,1,5,11,0.59,94847,265618,0,1,1
51,112601,6855,378,5,6,9,0.67,53331,324837,3,1,1
31,49956,45893,824,18,9,10,0.43,81672,190313,2,3,1
43,127268,18794,629,7,0,12,0.71,78755,472994,5,3,1
62,124797,40531,488,25,7,14,0.28,69783,414523,1,3,1
44,144917,9986,394,28,3,13,0.28,70951,324795,0,1,1
26,146303,37298,307,2,8,4,0.23,53509,207038,5,2,1
43,96295,6481,366,25,0,12,0.4,7472,321419,2,2,1
64,25439,8731,795,13,1,0,0.78,23380,95606,1,3,1
39,67241,21835,490,24,5,11,0.76,28280,51658,0,1,1
64,62533,32798,665,15,9,10,0.41,22859,275571,4,1,1
47,48270,31113,820,0,0,11,0.57,49402,122468,2,3,1
60,98815,24477,416,20,3,8,0.68,9262,457464,0,1,1
34,59279,22266,566,2,7,2,0.29,12066,467653,1,1,1
43,129787,25792,784,21,9,2,0.23,16554,220799,1,1,1
53,43888,25452,808,25,4,1,0.88,8008,199273,4,3,1
